"id","name","createDate","category","lon","lat"
244,"Pie Hole",2014-01-06,"food",-111.8885341,40.7616461
233,"Rechtsanwalt Daniel Dietrich",2013-11-08,"default",7.924502,53.2588316
234,"M & M Hair and Beauty",2014-10-27,"default",-0.3323122,51.5821466
235,"CeX Harrow",2014-12-04,"default",-0.3323591,51.5821146
236,"Whitespace",2015-02-20,"default",3.7326004,51.0597214
237,"5 voor 12",2015-04-02,"nightlife",3.7215045,51.0547053
238,"Pattaya Beer Garden",2014-03-04,"food",100.874346,12.9280252
240,"MBR Architettura",2013-07-19,"default",9.1061094,45.4609305
247,"Unleaded Group",2014-12-09,"default",-104.9871359,39.7548245
243,"Friesenkate",2014-01-03,"food",8.6083517,54.315705
245,"3 Amigos",2014-01-18,"food",-6.1011288,53.2039061
246,"Cafe & Bar Diesels",2014-05-29,"cafe",16.3951162,48.191622
248,"Porto Pirata",2014-07-08,"food",-58.3732278,-34.596169
218,"The French Press Cafe & Creperie",2014-02-10,"cafe",-73.7504154,42.6540939
250,"EDA Milano",2014-05-27,"food",9.2210821,45.4797273
253,"Two Brothers BBQ Woodlawn",2014-03-28,"food",-97.2617458,37.7510094
254,"Pho Thaison Vietnamese Cuisine",2014-04-12,"food",-97.7329828,30.3578376
255,"Pilenai",2014-07-18,"food",25.2795982,54.6726313
256,"<U+0410><U+0437><U+0430><U+0440><U+0435><U+044F>",2013-12-10,"lodging",24.639129,42.8747552
257,"Gameswap",2014-09-27,"shopping",3.7213797,51.049848
217,"Twang",2014-05-22,"cafe",18.0788131,59.3117663
8228,"Detektywi Gorzów",2016-06-15,"default",15.23606300354,52.730964493116
280,"Gospodarstwo Agroturystyczno - Ekologiczne""Stajnia Lezno""",2013-12-13,"attraction",19.7032346,53.2710389
264,"PYT",2014-12-18,"food",-75.1391589,39.9665561
263,"Apartmán ajaj",2013-11-30,"lodging",18.9057165,48.4506331
266,"It Is Vapor",2014-12-27,"default",-122.2264733,37.4855589
265,"Bertamini",2015-06-03,"shopping",10.8760253,45.869228
269,"Moksa",2014-05-07,"food",-71.1010542,42.3636159
267,"n7media - Agentur für Kommunikations- und Webdesign",2014-01-07,"default",10.163109,53.6528377
268,"Kunstkopien in Öl auf Leinwand - Dorothea Adam",2014-05-20,"default",9.0330749,51.6267552
273,"One Stop Coney Shop",2014-03-01,"food",-85.6645169,42.9630238
270,"Hotel San Martín",2013-07-09,"lodging",-68.8448455,-32.8883981
271,"Pizzeria Tiepolo",2014-04-27,"food",12.2857136,45.6771049
272,"Otherland",2013-10-07,"shopping",13.3947046,52.4888868
278,"Minh's Cafe",2014-04-12,"cafe",-97.7504309,30.4287281
274,"Pole namiotowe",2014-05-13,"lodging",19.6458031,53.2000961
275,"La Casa del Almirante",2014-06-23,"lodging",-71.5651245,-33.0268673
276,"michele silvestri",2014-04-09,"default",8.1048822,45.5815867
277,"Das Russische Sprachstudio",2013-07-19,"attraction",8.5338035,47.3810339
282,"Steve Alper DMD",2013-11-26,"default",-73.9907073,40.7389191
283,"Jia",2013-12-23,"food",5.3745371,52.1549622
284,"BOTENDIENST|QUICKTRANSPORT.AT",2014-10-24,"default",16.3733152,48.1872898
288,"ZCrêpes Café",2014-02-22,"food",-81.86325,26.6428482
286,"K-Market Jätkäsaari",2015-05-29,"grocery",24.9195985,60.1603553
287,"La Porte Cochère",2015-05-14,"lodging",2.882953,50.8493957
292,"Bars 'N Beats Recording Studio",2013-12-18,"default",-74.6529196,40.5009856
289,"Spis",2014-11-26,"food",24.9478673,60.1637887
290,"PerronHosting.com",2014-02-16,"default",-73.978673,45.7703
296,"Cups and Cakes Bakery",2013-04-14,"grocery",-122.4092269,37.7720246
293,"Cheapsleep Hostel",2013-11-26,"lodging",24.956026,60.193792
295,"<U+0E01><U+0E2D><U+0E07><U+0E15><U+0E33><U+0E23><U+0E27><U+0E08><U+0E2A><U+0E37><U+0E48><U+0E2D><U+0E2A><U+0E32><U+0E23>",2015-01-14,"default",100.6171651,13.8635545
298,"Lido Asian Cuisine",2014-04-09,"food",-97.5317178,35.4950363
297,"?",2014-11-28,"default",17.6494571,49.220221
259,"Romantikresort",2013-04-18,"default",13.2427051,48.7096216
8418,"www.Manunu.eu",2016-08-12,"default",16.9013983011246,52.4097888162611
301,"Masshemden Atelier Voglhuber",2014-06-05,"default",16.3421012,48.2243996
321,"Sara's KW Driving Academy",2014-03-19,"default",-80.4910633,43.4496827
310,"Padthai Thai Restaurant",2014-04-09,"food",-97.4422524,35.2115934
304,"Clínica Lucq",2013-11-30,"default",-5.9786981,37.3744381
305,"Alternativhälsan Östermalm",2013-12-05,"default",18.0954851,59.3457035
306,"Peyer Fine Art GmbH",2013-11-20,"default",8.5409899,47.3723846
308,"<U+C774><U+C790><U+CE74><U+C57C> <U+B3D9><U+ACBD><U+AD6C><U+B77D><U+BD80>",2014-06-29,"food",127.0292663,37.585497
309,"Okrasná školka Droždín",2015-03-11,"shopping",17.3340746,49.6124609
311,"CoVis CoWorking",2013-11-26,"default",-96.0826749,41.2498239
17074,"Soporte PC y Criptomonedas",2019-03-07,"default",-68.0050277709961,10.1811324340565
322,"Paper Street Market",2014-12-16,"default",-82.6473269,27.7713227
313,"boca gastrobar",2015-03-30,"food",9.7408566,52.3881503
315,"Portside",2015-01-23,"food",22.5063515,60.0195582
317,"Paprika Hostel",2014-06-23,"lodging",19.0614269,47.5054819
303,"New Mexico Tea Company",2013-04-18,"default",-106.658747,35.0957414
323,"Yummy Thai",2014-03-18,"food",-82.6450904,27.8668929
333,"Oriental Express",2014-03-26,"food",-95.7605191,39.0150333
302,"Sandman Hotel Revelstoke",2014-07-17,"lodging",-118.2180204,51.0099889
325,"Lumen GmbH",2015-05-06,"default",9.7754914,52.3285705
326,"Centrum Mebli Rattanowych i Stylowych",2014-06-18,"default",21.0776991,52.2002489
327,"Elektro-Instalacje",2014-01-30,"default",20.9573612,52.2248906
328,"Viceroy Bali",2014-08-09,"lodging",115.2775511,-8.4939982
